timestamp,gate_id,facility_type,inlet_node,outlet_node,status,setting,flow_cms
2017-07-02 23:15:00,G80F66Yw1,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-07-02 23:15:00,G80F66Yw2,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-07-02 23:30:00,G60F60Y_G60F070_l1,outlet,G60F60Y,G60F070,open,1.0,0.0035951341289022607
2017-07-02 23:30:00,G60F60Yw1,weir,G60F60Y,G60F60X,open,1.0,0.0
2017-07-02 23:30:00,G60F61Yo1,orifice,G60F61Y,G60O361,open,1.0,0.0
2017-07-02 23:30:00,G70F62Yw1,weir,G70F62Y,G70F62X,open,1.0,0.0
2017-07-02 23:30:00,G71F05R_skylo1,orifice,G71F05R_skyl,G71F05R,closed,0.0,0.0
2017-07-02 23:30:00,G71F05R_skylw1,weir,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-07-02 23:30:00,G71F06Rw1,weir,G71F06R,G71F06R_ovl,open,1.0,0.0
2017-07-02 23:30:00,G71F090w1,weir,G71F090,G71F04R,open,1.0,0.0
2017-07-02 23:30:00,G71F12Pw1,orifice,G71F12P,G71O020,open,1.0,0.0
2017-07-02 23:30:00,G71F68Yout1,outlet,G71F68Y,G71R050,open,1.0,0.0
2017-07-02 23:30:00,G72K020w1,weir,G72K020,G71F05R_skyl,open,1.0,0.0
2017-07-02 23:30:00,G72R150_G74F150_l1,outlet,G72R150,G74F150,open,1.0,6.385633468107699e-07
2017-07-02 23:30:00,G72R33Bout1,outlet,G72R33B,G72R33Bb,open,1.0,2.8320000000000003e-05
2017-07-02 23:30:00,G72R33Bw1,weir,G72R33B,G72R642,open,1.0,0.0
2017-07-02 23:30:00,G72R34R_vandbremse,outlet,G72R34R,G72R34X,open,1.0,0.0
2017-07-02 23:30:00,G72R34Rw1,weir,G72R34R,G72R34X,open,1.0,0.0
2017-07-02 23:30:00,G72R520_l1_vandbremse,outlet,G72R520,G72R52X,open,1.0,0.0065
2017-07-02 23:30:00,G72R520w1,weir,G72R520,G72R52X,open,1.0,0.0
2017-07-02 23:30:00,G75F65Yw1,weir,G75F65Y,G75F65X,open,1.0,0.0
2017-07-02 23:30:00,G80F11Bw1,weir,G80F11B,G80O010,open,1.0,0.0
2017-07-02 23:30:00,G80F310_G80F13P_l1,outlet,G80F310,G80F13P,open,1.0,6.62888738713004e-05
2017-07-02 23:30:00,G80F66Yw1,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-07-02 23:30:00,G80F66Yw2,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-07-02 23:45:00,G60F60Y_G60F070_l1,outlet,G60F60Y,G60F070,open,1.0,0.0035521345842696194
2017-07-02 23:45:00,G60F60Yw1,weir,G60F60Y,G60F60X,open,1.0,0.0
2017-07-02 23:45:00,G60F61Yo1,orifice,G60F61Y,G60O361,open,1.0,0.0
2017-07-02 23:45:00,G70F62Yw1,weir,G70F62Y,G70F62X,open,1.0,0.0
2017-07-02 23:45:00,G71F05R_skylo1,orifice,G71F05R_skyl,G71F05R,closed,0.0,0.0
2017-07-02 23:45:00,G71F05R_skylw1,weir,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-07-02 23:45:00,G71F06Rw1,weir,G71F06R,G71F06R_ovl,open,1.0,0.0
2017-07-02 23:45:00,G71F090w1,weir,G71F090,G71F04R,open,1.0,0.0
2017-07-02 23:45:00,G71F12Pw1,orifice,G71F12P,G71O020,open,1.0,0.0
2017-07-02 23:45:00,G71F68Yout1,outlet,G71F68Y,G71R050,open,1.0,0.0
2017-07-02 23:45:00,G72K020w1,weir,G72K020,G71F05R_skyl,open,1.0,0.0
2017-07-02 23:45:00,G72R150_G74F150_l1,outlet,G72R150,G74F150,open,1.0,0.0
2017-07-02 23:45:00,G72R33Bout1,outlet,G72R33B,G72R33Bb,open,1.0,2.8320000000000003e-05
2017-07-02 23:45:00,G72R33Bw1,weir,G72R33B,G72R642,open,1.0,0.0
2017-07-02 23:45:00,G72R34R_vandbremse,outlet,G72R34R,G72R34X,open,1.0,0.0
2017-07-02 23:45:00,G72R34Rw1,weir,G72R34R,G72R34X,open,1.0,0.0
2017-07-02 23:45:00,G72R520_l1_vandbremse,outlet,G72R520,G72R52X,open,1.0,0.0
2017-07-02 23:45:00,G72R520w1,weir,G72R520,G72R52X,open,1.0,0.0
2017-07-02 23:45:00,G75F65Yw1,weir,G75F65Y,G75F65X,open,1.0,0.0
2017-07-02 23:45:00,G80F11Bw1,weir,G80F11B,G80O010,open,1.0,0.0
2017-07-02 23:45:00,G80F310_G80F13P_l1,outlet,G80F310,G80F13P,open,1.0,1.0189216540446849e-05
2017-07-02 23:45:00,G80F66Yw1,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-07-02 23:45:00,G80F66Yw2,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-07-03 00:00:00,G60F60Y_G60F070_l1,outlet,G60F60Y,G60F070,open,1.0,0.003529799996268038
2017-07-03 00:00:00,G60F60Yw1,weir,G60F60Y,G60F60X,open,1.0,0.0
2017-07-03 00:00:00,G60F61Yo1,orifice,G60F61Y,G60O361,open,1.0,0.0
2017-07-03 00:00:00,G70F62Yw1,weir,G70F62Y,G70F62X,open,1.0,0.0
2017-07-03 00:00:00,G71F05R_skylo1,orifice,G71F05R_skyl,G71F05R,closed,0.0,0.0
2017-07-03 00:00:00,G71F05R_skylw1,weir,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-07-03 00:00:00,G71F06Rw1,weir,G71F06R,G71F06R_ovl,open,1.0,0.0
2017-07-03 00:00:00,G71F090w1,weir,G71F090,G71F04R,open,1.0,0.0
2017-07-03 00:00:00,G71F12Pw1,orifice,G71F12P,G71O020,open,1.0,0.0
2017-07-03 00:00:00,G71F68Yout1,outlet,G71F68Y,G71R050,open,1.0,0.0
2017-07-03 00:00:00,G72K020w1,weir,G72K020,G71F05R_skyl,open,1.0,0.0
2017-07-03 00:00:00,G72R150_G74F150_l1,outlet,G72R150,G74F150,open,1.0,6.318764070452971e-07
2017-07-03 00:00:00,G72R33Bout1,outlet,G72R33B,G72R33Bb,open,1.0,0.0
2017-07-03 00:00:00,G72R33Bw1,weir,G72R33B,G72R642,open,1.0,0.0
2017-07-03 00:00:00,G72R34R_vandbremse,outlet,G72R34R,G72R34X,open,1.0,0.0
2017-07-03 00:00:00,G72R34Rw1,weir,G72R34R,G72R34X,open,1.0,0.0
2017-07-03 00:00:00,G72R520_l1_vandbremse,outlet,G72R520,G72R52X,open,1.0,0.0
2017-07-03 00:00:00,G72R520w1,weir,G72R520,G72R52X,open,1.0,0.0
2017-07-03 00:00:00,G75F65Yw1,weir,G75F65Y,G75F65X,open,1.0,0.0
2017-07-03 00:00:00,G80F11Bw1,weir,G80F11B,G80O010,open,1.0,0.0
2017-07-03 00:00:00,G80F310_G80F13P_l1,outlet,G80F310,G80F13P,open,1.0,0.0
2017-07-03 00:00:00,G80F66Yw1,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-07-03 00:00:00,G80F66Yw2,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-07-03 00:15:00,G60F60Y_G60F070_l1,outlet,G60F60Y,G60F070,open,1.0,0.0033955171990832475
2017-07-03 00:15:00,G60F60Yw1,weir,G60F60Y,G60F60X,open,1.0,0.0
2017-07-03 00:15:00,G60F61Yo1,orifice,G60F61Y,G60O361,open,1.0,0.0
2017-07-03 00:15:00,G70F62Yw1,weir,G70F62Y,G70F62X,open,1.0,0.0
2017-07-03 00:15:00,G71F05R_skylo1,orifice,G71F05R_skyl,G71F05R,closed,0.0,0.0
2017-07-03 00:15:00,G71F05R_skylw1,weir,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-07-03 00:15:00,G71F06Rw1,weir,G71F06R,G71F06R_ovl,open,1.0,0.0
2017-07-03 00:15:00,G71F090w1,weir,G71F090,G71F04R,open,1.0,0.0
2017-07-03 00:15:00,G71F12Pw1,orifice,G71F12P,G71O020,open,1.0,0.0
2017-07-03 00:15:00,G71F68Yout1,outlet,G71F68Y,G71R050,open,1.0,0.0
2017-07-03 00:15:00,G72K020w1,weir,G72K020,G71F05R_skyl,open,1.0,0.0
2017-07-03 00:15:00,G72R150_G74F150_l1,outlet,G72R150,G74F150,open,1.0,6.333826217718297e-07
2017-07-03 00:15:00,G72R33Bout1,outlet,G72R33B,G72R33Bb,open,1.0,2.8320000000000003e-05
2017-07-03 00:15:00,G72R33Bw1,weir,G72R33B,G72R642,open,1.0,0.0
2017-07-03 00:15:00,G72R34R_vandbremse,outlet,G72R34R,G72R34X,open,1.0,0.0
2017-07-03 00:15:00,G72R34Rw1,weir,G72R34R,G72R34X,open,1.0,0.0
2017-07-03 00:15:00,G72R520_l1_vandbremse,outlet,G72R520,G72R52X,open,1.0,0.0
2017-07-03 00:15:00,G72R520w1,weir,G72R520,G72R52X,open,1.0,0.0
2017-07-03 00:15:00,G75F65Yw1,weir,G75F65Y,G75F65X,open,1.0,0.0
2017-07-03 00:15:00,G80F11Bw1,weir,G80F11B,G80O010,open,1.0,0.0
2017-07-03 00:15:00,G80F310_G80F13P_l1,outlet,G80F310,G80F13P,open,1.0,0.00046750521460616206
2017-07-03 00:15:00,G80F66Yw1,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-07-03 00:15:00,G80F66Yw2,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-07-03 00:30:00,G60F60Y_G60F070_l1,outlet,G60F60Y,G60F070,open,1.0,0.0031136862903948306
2017-07-03 00:30:00,G60F60Yw1,weir,G60F60Y,G60F60X,open,1.0,0.0
2017-07-03 00:30:00,G60F61Yo1,orifice,G60F61Y,G60O361,open,1.0,0.0
2017-07-03 00:30:00,G70F62Yw1,weir,G70F62Y,G70F62X,open,1.0,0.0
2017-07-03 00:30:00,G71F05R_skylo1,orifice,G71F05R_skyl,G71F05R,closed,0.0,0.0
2017-07-03 00:30:00,G71F05R_skylw1,weir,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-07-03 00:30:00,G71F06Rw1,weir,G71F06R,G71F06R_ovl,open,1.0,0.0
2017-07-03 00:30:00,G71F090w1,weir,G71F090,G71F04R,open,1.0,0.0
2017-07-03 00:30:00,G71F12Pw1,orifice,G71F12P,G71O020,open,1.0,0.0
2017-07-03 00:30:00,G71F68Yout1,outlet,G71F68Y,G71R050,open,1.0,0.0
2017-07-03 00:30:00,G72K020w1,weir,G72K020,G71F05R_skyl,open,1.0,0.0
2017-07-03 00:30:00,G72R150_G74F150_l1,outlet,G72R150,G74F150,open,1.0,3.053048515943146e-07
2017-07-03 00:30:00,G72R33Bout1,outlet,G72R33B,G72R33Bb,open,1.0,2.8320000000000003e-05
2017-07-03 00:30:00,G72R33Bw1,weir,G72R33B,G72R642,open,1.0,0.0
2017-07-03 00:30:00,G72R34R_vandbremse,outlet,G72R34R,G72R34X,open,1.0,0.0
2017-07-03 00:30:00,G72R34Rw1,weir,G72R34R,G72R34X,open,1.0,0.0
2017-07-03 00:30:00,G72R520_l1_vandbremse,outlet,G72R520,G72R52X,open,1.0,0.0
2017-07-03 00:30:00,G72R520w1,weir,G72R520,G72R52X,open,1.0,0.0
2017-07-03 00:30:00,G75F65Yw1,weir,G75F65Y,G75F65X,open,1.0,0.0
2017-07-03 00:30:00,G80F11Bw1,weir,G80F11B,G80O010,open,1.0,0.0
2017-07-03 00:30:00,G80F310_G80F13P_l1,outlet,G80F310,G80F13P,open,1.0,0.0003846002934675402
2017-07-03 00:30:00,G80F66Yw1,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-07-03 00:30:00,G80F66Yw2,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-07-03 00:45:00,G60F60Y_G60F070_l1,outlet,G60F60Y,G60F070,open,1.0,0.002924008620993488
2017-07-03 00:45:00,G60F60Yw1,weir,G60F60Y,G60F60X,open,1.0,0.0
2017-07-03 00:45:00,G60F61Yo1,orifice,G60F61Y,G60O361,open,1.0,0.0
2017-07-03 00:45:00,G70F62Yw1,weir,G70F62Y,G70F62X,open,1.0,0.0
2017-07-03 00:45:00,G71F05R_skylo1,orifice,G71F05R_skyl,G71F05R,closed,0.0,0.0
2017-07-03 00:45:00,G71F05R_skylw1,weir,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-07-03 00:45:00,G71F06Rw1,weir,G71F06R,G71F06R_ovl,open,1.0,0.0
2017-07-03 00:45:00,G71F090w1,weir,G71F090,G71F04R,open,1.0,0.0
2017-07-03 00:45:00,G71F12Pw1,orifice,G71F12P,G71O020,open,1.0,0.0
2017-07-03 00:45:00,G71F68Yout1,outlet,G71F68Y,G71R050,open,1.0,0.0
2017-07-03 00:45:00,G72K020w1,weir,G72K020,G71F05R_skyl,open,1.0,0.0
2017-07-03 00:45:00,G72R150_G74F150_l1,outlet,G72R150,G74F150,open,1.0,6.324458351508611e-07
2017-07-03 00:45:00,G72R33Bout1,outlet,G72R33B,G72R33Bb,open,1.0,2.8320000000000003e-05
2017-07-03 00:45:00,G72R33Bw1,weir,G72R33B,G72R642,open,1.0,0.0
2017-07-03 00:45:00,G72R34R_vandbremse,outlet,G72R34R,G72R34X,open,1.0,0.0
2017-07-03 00:45:00,G72R34Rw1,weir,G72R34R,G72R34X,open,1.0,0.0
2017-07-03 00:45:00,G72R520_l1_vandbremse,outlet,G72R520,G72R52X,open,1.0,0.0
2017-07-03 00:45:00,G72R520w1,weir,G72R520,G72R52X,open,1.0,0.0
2017-07-03 00:45:00,G75F65Yw1,weir,G75F65Y,G75F65X,open,1.0,0.0
2017-07-03 00:45:00,G80F11Bw1,weir,G80F11B,G80O010,open,1.0,0.0
2017-07-03 00:45:00,G80F310_G80F13P_l1,outlet,G80F310,G80F13P,open,1.0,0.0002383381181962462
2017-07-03 00:45:00,G80F66Yw1,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-07-03 00:45:00,G80F66Yw2,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-07-03 01:00:00,G60F60Y_G60F070_l1,outlet,G60F60Y,G60F070,open,1.0,0.002813276526644255
2017-07-03 01:00:00,G60F60Yw1,weir,G60F60Y,G60F60X,open,1.0,0.0
2017-07-03 01:00:00,G60F61Yo1,orifice,G60F61Y,G60O361,open,1.0,0.0
2017-07-03 01:00:00,G70F62Yw1,weir,G70F62Y,G70F62X,open,1.0,0.0
2017-07-03 01:00:00,G71F05R_skylo1,orifice,G71F05R_skyl,G71F05R,closed,0.0,0.0
2017-07-03 01:00:00,G71F05R_skylw1,weir,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-07-03 01:00:00,G71F06Rw1,weir,G71F06R,G71F06R_ovl,open,1.0,0.0
2017-07-03 01:00:00,G71F090w1,weir,G71F090,G71F04R,open,1.0,0.0
2017-07-03 01:00:00,G71F12Pw1,orifice,G71F12P,G71O020,open,1.0,0.0
2017-07-03 01:00:00,G71F68Yout1,outlet,G71F68Y,G71R050,open,1.0,0.0
2017-07-03 01:00:00,G72K020w1,weir,G72K020,G71F05R_skyl,open,1.0,0.0
2017-07-03 01:00:00,G72R150_G74F150_l1,outlet,G72R150,G74F150,open,1.0,6.697805925192596e-07
2017-07-03 01:00:00,G72R33Bout1,outlet,G72R33B,G72R33Bb,open,1.0,2.8320000000000003e-05
2017-07-03 01:00:00,G72R33Bw1,weir,G72R33B,G72R642,open,1.0,0.0
2017-07-03 01:00:00,G72R34R_vandbremse,outlet,G72R34R,G72R34X,open,1.0,0.0
2017-07-03 01:00:00,G72R34Rw1,weir,G72R34R,G72R34X,open,1.0,0.0
2017-07-03 01:00:00,G72R520_l1_vandbremse,outlet,G72R520,G72R52X,open,1.0,0.0
2017-07-03 01:00:00,G72R520w1,weir,G72R520,G72R52X,open,1.0,0.0
2017-07-03 01:00:00,G75F65Yw1,weir,G75F65Y,G75F65X,open,1.0,0.0
2017-07-03 01:00:00,G80F11Bw1,weir,G80F11B,G80O010,open,1.0,0.0
2017-07-03 01:00:00,G80F310_G80F13P_l1,outlet,G80F310,G80F13P,open,1.0,2.1948656228679416e-05
2017-07-03 01:00:00,G80F66Yw1,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-07-03 01:00:00,G80F66Yw2,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-07-03 01:15:00,G60F60Y_G60F070_l1,outlet,G60F60Y,G60F070,open,1.0,0.0027124192627405296
2017-07-03 01:15:00,G60F60Yw1,weir,G60F60Y,G60F60X,open,1.0,0.0
2017-07-03 01:15:00,G60F61Yo1,orifice,G60F61Y,G60O361,open,1.0,0.0
2017-07-03 01:15:00,G70F62Yw1,weir,G70F62Y,G70F62X,open,1.0,0.0
2017-07-03 01:15:00,G71F05R_skylo1,orifice,G71F05R_skyl,G71F05R,closed,0.0,0.0
2017-07-03 01:15:00,G71F05R_skylw1,weir,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-07-03 01:15:00,G71F06Rw1,weir,G71F06R,G71F06R_ovl,open,1.0,0.0
2017-07-03 01:15:00,G71F090w1,weir,G71F090,G71F04R,open,1.0,0.0
2017-07-03 01:15:00,G71F12Pw1,orifice,G71F12P,G71O020,open,1.0,0.0
2017-07-03 01:15:00,G71F68Yout1,outlet,G71F68Y,G71R050,open,1.0,0.0
2017-07-03 01:15:00,G72K020w1,weir,G72K020,G71F05R_skyl,open,1.0,0.0
2017-07-03 01:15:00,G72R150_G74F150_l1,outlet,G72R150,G74F150,open,1.0,0.0
2017-07-03 01:15:00,G72R33Bout1,outlet,G72R33B,G72R33Bb,open,1.0,2.8320000000000003e-05
2017-07-03 01:15:00,G72R33Bw1,weir,G72R33B,G72R642,open,1.0,0.0
2017-07-03 01:15:00,G72R34R_vandbremse,outlet,G72R34R,G72R34X,open,1.0,0.0
2017-07-03 01:15:00,G72R34Rw1,weir,G72R34R,G72R34X,open,1.0,0.0
2017-07-03 01:15:00,G72R520_l1_vandbremse,outlet,G72R520,G72R52X,open,1.0,0.0
2017-07-03 01:15:00,G72R520w1,weir,G72R520,G72R52X,open,1.0,0.0
2017-07-03 01:15:00,G75F65Yw1,weir,G75F65Y,G75F65X,open,1.0,0.0
2017-07-03 01:15:00,G80F11Bw1,weir,G80F11B,G80O010,open,1.0,0.0
2017-07-03 01:15:00,G80F310_G80F13P_l1,outlet,G80F310,G80F13P,open,1.0,3.8940133677889596e-05
2017-07-03 01:15:00,G80F66Yw1,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-07-03 01:15:00,G80F66Yw2,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-07-03 01:30:00,G60F60Y_G60F070_l1,outlet,G60F60Y,G60F070,open,1.0,0.002613844826781056
2017-07-03 01:30:00,G60F60Yw1,weir,G60F60Y,G60F60X,open,1.0,0.0
2017-07-03 01:30:00,G60F61Yo1,orifice,G60F61Y,G60O361,open,1.0,0.0
2017-07-03 01:30:00,G70F62Yw1,weir,G70F62Y,G70F62X,open,1.0,0.0
2017-07-03 01:30:00,G71F05R_skylo1,orifice,G71F05R_skyl,G71F05R,closed,0.0,0.0
2017-07-03 01:30:00,G71F05R_skylw1,weir,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-07-03 01:30:00,G71F06Rw1,weir,G71F06R,G71F06R_ovl,open,1.0,0.0
2017-07-03 01:30:00,G71F090w1,weir,G71F090,G71F04R,open,1.0,0.0
2017-07-03 01:30:00,G71F12Pw1,orifice,G71F12P,G71O020,open,1.0,0.0
2017-07-03 01:30:00,G71F68Yout1,outlet,G71F68Y,G71R050,open,1.0,0.0
2017-07-03 01:30:00,G72K020w1,weir,G72K020,G71F05R_skyl,open,1.0,0.0
2017-07-03 01:30:00,G72R150_G74F150_l1,outlet,G72R150,G74F150,open,1.0,0.0
2017-07-03 01:30:00,G72R33Bout1,outlet,G72R33B,G72R33Bb,open,1.0,0.0
2017-07-03 01:30:00,G72R33Bw1,weir,G72R33B,G72R642,open,1.0,0.0
2017-07-03 01:30:00,G72R34R_vandbremse,outlet,G72R34R,G72R34X,open,1.0,0.0
2017-07-03 01:30:00,G72R34Rw1,weir,G72R34R,G72R34X,open,1.0,0.0
2017-07-03 01:30:00,G72R520_l1_vandbremse,outlet,G72R520,G72R52X,open,1.0,0.0
2017-07-03 01:30:00,G72R520w1,weir,G72R520,G72R52X,open,1.0,0.0
2017-07-03 01:30:00,G75F65Yw1,weir,G75F65Y,G75F65X,open,1.0,0.0
2017-07-03 01:30:00,G80F11Bw1,weir,G80F11B,G80O010,open,1.0,0.0
2017-07-03 01:30:00,G80F310_G80F13P_l1,outlet,G80F310,G80F13P,open,1.0,0.0
2017-07-03 01:30:00,G80F66Yw1,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-07-03 01:30:00,G80F66Yw2,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-07-03 01:45:00,G60F60Y_G60F070_l1,outlet,G60F60Y,G60F070,open,1.0,0.0025504961314308378
2017-07-03 01:45:00,G60F60Yw1,weir,G60F60Y,G60F60X,open,1.0,0.0
2017-07-03 01:45:00,G60F61Yo1,orifice,G60F61Y,G60O361,open,1.0,0.0
2017-07-03 01:45:00,G70F62Yw1,weir,G70F62Y,G70F62X,open,1.0,0.0
2017-07-03 01:45:00,G71F05R_skylo1,orifice,G71F05R_skyl,G71F05R,closed,0.0,0.0
2017-07-03 01:45:00,G71F05R_skylw1,weir,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-07-03 01:45:00,G71F06Rw1,weir,G71F06R,G71F06R_ovl,open,1.0,0.0
2017-07-03 01:45:00,G71F090w1,weir,G71F090,G71F04R,open,1.0,0.0
2017-07-03 01:45:00,G71F12Pw1,orifice,G71F12P,G71O020,open,1.0,0.0
2017-07-03 01:45:00,G71F68Yout1,outlet,G71F68Y,G71R050,open,1.0,0.0
2017-07-03 01:45:00,G72K020w1,weir,G72K020,G71F05R_skyl,open,1.0,0.0
2017-07-03 01:45:00,G72R150_G74F150_l1,outlet,G72R150,G74F150,open,1.0,0.0
2017-07-03 01:45:00,G72R33Bout1,outlet,G72R33B,G72R33Bb,open,1.0,2.8320000000000003e-05
2017-07-03 01:45:00,G72R33Bw1,weir,G72R33B,G72R642,open,1.0,0.0
2017-07-03 01:45:00,G72R34R_vandbremse,outlet,G72R34R,G72R34X,open,1.0,0.0
2017-07-03 01:45:00,G72R34Rw1,weir,G72R34R,G72R34X,open,1.0,0.0
2017-07-03 01:45:00,G72R520_l1_vandbremse,outlet,G72R520,G72R52X,open,1.0,0.0
2017-07-03 01:45:00,G72R520w1,weir,G72R520,G72R52X,open,1.0,0.0
2017-07-03 01:45:00,G75F65Yw1,weir,G75F65Y,G75F65X,open,1.0,0.0
2017-07-03 01:45:00,G80F11Bw1,weir,G80F11B,G80O010,open,1.0,0.0
2017-07-03 01:45:00,G80F310_G80F13P_l1,outlet,G80F310,G80F13P,open,1.0,0.0
2017-07-03 01:45:00,G80F66Yw1,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-07-03 01:45:00,G80F66Yw2,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-07-03 02:00:00,G60F60Y_G60F070_l1,outlet,G60F60Y,G60F070,open,1.0,0.002509519314904912
2017-07-03 02:00:00,G60F60Yw1,weir,G60F60Y,G60F60X,open,1.0,0.0
2017-07-03 02:00:00,G60F61Yo1,orifice,G60F61Y,G60O361,open,1.0,0.0
2017-07-03 02:00:00,G70F62Yw1,weir,G70F62Y,G70F62X,open,1.0,0.0
2017-07-03 02:00:00,G71F05R_skylo1,orifice,G71F05R_skyl,G71F05R,closed,0.0,0.0
2017-07-03 02:00:00,G71F05R_skylw1,weir,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-07-03 02:00:00,G71F06Rw1,weir,G71F06R,G71F06R_ovl,open,1.0,0.0
2017-07-03 02:00:00,G71F090w1,weir,G71F090,G71F04R,open,1.0,0.0
2017-07-03 02:00:00,G71F12Pw1,orifice,G71F12P,G71O020,open,1.0,0.0
2017-07-03 02:00:00,G71F68Yout1,outlet,G71F68Y,G71R050,open,1.0,0.0
2017-07-03 02:00:00,G72K020w1,weir,G72K020,G71F05R_skyl,open,1.0,0.0
2017-07-03 02:00:00,G72R150_G74F150_l1,outlet,G72R150,G74F150,open,1.0,0.0
2017-07-03 02:00:00,G72R33Bout1,outlet,G72R33B,G72R33Bb,open,1.0,2.8320000000000003e-05
2017-07-03 02:00:00,G72R33Bw1,weir,G72R33B,G72R642,open,1.0,0.0
2017-07-03 02:00:00,G72R34R_vandbremse,outlet,G72R34R,G72R34X,open,1.0,0.0
2017-07-03 02:00:00,G72R34Rw1,weir,G72R34R,G72R34X,open,1.0,0.0
2017-07-03 02:00:00,G72R520_l1_vandbremse,outlet,G72R520,G72R52X,open,1.0,0.0
2017-07-03 02:00:00,G72R520w1,weir,G72R520,G72R52X,open,1.0,0.0
2017-07-03 02:00:00,G75F65Yw1,weir,G75F65Y,G75F65X,open,1.0,0.0
2017-07-03 02:00:00,G80F11Bw1,weir,G80F11B,G80O010,open,1.0,0.0
2017-07-03 02:00:00,G80F310_G80F13P_l1,outlet,G80F310,G80F13P,open,1.0,0.00029253728054742036
2017-07-03 02:00:00,G80F66Yw1,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-07-03 02:00:00,G80F66Yw2,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-07-03 02:15:00,G60F60Y_G60F070_l1,outlet,G60F60Y,G60F070,open,1.0,0.0024494419626758953
2017-07-03 02:15:00,G60F60Yw1,weir,G60F60Y,G60F60X,open,1.0,0.0
2017-07-03 02:15:00,G60F61Yo1,orifice,G60F61Y,G60O361,open,1.0,0.0
2017-07-03 02:15:00,G70F62Yw1,weir,G70F62Y,G70F62X,open,1.0,0.0
2017-07-03 02:15:00,G71F05R_skylo1,orifice,G71F05R_skyl,G71F05R,closed,0.0,0.0
2017-07-03 02:15:00,G71F05R_skylw1,weir,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-07-03 02:15:00,G71F06Rw1,weir,G71F06R,G71F06R_ovl,open,1.0,0.0
2017-07-03 02:15:00,G71F090w1,weir,G71F090,G71F04R,open,1.0,0.0
2017-07-03 02:15:00,G71F12Pw1,orifice,G71F12P,G71O020,open,1.0,0.0
2017-07-03 02:15:00,G71F68Yout1,outlet,G71F68Y,G71R050,open,1.0,0.0
2017-07-03 02:15:00,G72K020w1,weir,G72K020,G71F05R_skyl,open,1.0,0.0
2017-07-03 02:15:00,G72R150_G74F150_l1,outlet,G72R150,G74F150,open,1.0,0.0
2017-07-03 02:15:00,G72R33Bout1,outlet,G72R33B,G72R33Bb,open,1.0,2.8320000000000003e-05
2017-07-03 02:15:00,G72R33Bw1,weir,G72R33B,G72R642,open,1.0,0.0
2017-07-03 02:15:00,G72R34R_vandbremse,outlet,G72R34R,G72R34X,open,1.0,0.0
2017-07-03 02:15:00,G72R34Rw1,weir,G72R34R,G72R34X,open,1.0,0.0
2017-07-03 02:15:00,G72R520_l1_vandbremse,outlet,G72R520,G72R52X,open,1.0,0.0
2017-07-03 02:15:00,G72R520w1,weir,G72R520,G72R52X,open,1.0,0.0
2017-07-03 02:15:00,G75F65Yw1,weir,G75F65Y,G75F65X,open,1.0,0.0
2017-07-03 02:15:00,G80F11Bw1,weir,G80F11B,G80O010,open,1.0,0.0
2017-07-03 02:15:00,G80F310_G80F13P_l1,outlet,G80F310,G80F13P,open,1.0,0.0002612247626701087
2017-07-03 02:15:00,G80F66Yw1,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-07-03 02:15:00,G80F66Yw2,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-07-03 02:30:00,G60F60Y_G60F070_l1,outlet,G60F60Y,G60F070,open,1.0,0.002356921361776737
